,Unnamed: 0,Data,Alagamento,Bairro,Tipo,Horário Inicial,Horário Final,Endereço,Sentido,Referência
846,846,2023-11-29,1,Santo Amaro,Inativo Intransitável,16:00:00,18:24:00,AV VITOR MANZINI, CENTRO/BAIRRO, PC DOM FRANCISCO DE SOUSA
847,847,2023-11-29,1,Santo Amaro,Inativo Transitável,16:19:00,19:03:00,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R PROF CAMPOS DE OLIVEIRA
848,848,2023-11-29,1,Santo Amaro,Inativo Transitável,16:19:00,17:19:00,a 17:19AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO, R PROF CAMPOS DE OLIVEIRA
849,849,2023-11-29,1,Jabaquara,Inativo Transitável,02:04:00,02:23:00,RV DOS IMIGRANTES, MARGINAL/IMIGRANTES, AV PROF ABRAAO DE MORAIS
850,850,2023-11-29,1,Vila Mariana,Inativo Transitável,02:26:00,04:45:00,AV AFFONSO D'ESCRAGNOLLE TAUNAY, MARGINAL/IMIGRANTES, AC ESQ A RODOVIA DOS IMIGRANTES
851,851,2023-12-08,1,Santana,Inativo Transitável,07:56:00,09:40:00,R DAS PALMEIRAS (SANTA CECILIA), UNICO, AV S JOAO
852,852,2023-12-08,1,Capela do Socorro,Inativo Transitável,07:31:00,08:54:00,AV CARLOS BARBOSA SANTOS, BAIRRO/CENTRO, R PROF FRANCISCO MARQUES OLIVEIRA JR.
853,853,2023-12-10,1,Sé,Inativo Transitável,22:17:00,23:44:00,AV DO ESTADO, IPIRANGA/SANTANA, R S CAETANO (BOM RETIRO)
854,854,2023-12-10,1,Butantã,Inativo Intransitável,22:03:00,22:53:00,R MIN EDMUNDO LINS, BAIRRO/CENTRO, AV PROF FRANCISCO MORATO (VILA SONIA)
855,855,2023-12-10,1,Pinheiros,Inativo Transitável,22:19:00,23:43:00,AV DAS NACOES UNIDAS, INTERLAGOS/CASTELO - LOCAL, R OSWALDO CASIMIRO MULLER
856,856,2023-12-10,1,Itaquera,Inativo Intransitável,21:37:00,21:53:00,R PDE VIEGAS DE MENEZES, AMBOS, R ITAGIMIRIM
857,857,2023-12-10,1,Santo Amaro,Inativo Intransitável,23:32:00,23:42:00,AV DAS NACOES UNIDAS, AMBOS, R JAIME DE OLIVEIRA SOUZA
858,858,2023-12-16,1,Freguesia do Ó,Inativo Intransitável,16:15:00,19:19:00,:19AV EDGAR FACÓ, SENTIDO BAIRRO, ALTURA DO NUMERO 670
859,859,2023-12-17,1,Santana,Inativo Intransitável,14:03:00,15:34:00,R JOVITA, CENTRO/BAIRRO, R ALF MAGALHAES
860,860,2023-12-17,1,Lapa,Inativo Transitável,13:53:00,14:06:00,R CLELIA, AMBOS, R JEROAQUARA
861,861,2023-12-17,1,Lapa,Inativo Intransitável,14:02:00,14:54:00,R CORIOLANO, UNICO, R JEROAQUARA
862,862,2023-12-23,1,Vila Maria/ Vila Guilherme,Inativo Transitável,17:48:00,19:52:00,AV EDU CHAVES, AMBOS, AV SANATORIO
863,863,2023-12-23,1,Santana,Inativo Transitável,17:27:00,20:42:00,AV ZAKI NARCHI, AMBOS, R URUPIARA
864,864,2023-12-23,1,Sé,Inativo Intransitável,17:05:00,19:52:00,R MAUA, IPIRANGA/SANTANA, R PAULA SOUSA
865,865,2023-12-23,1,Sé,Inativo Intransitável,17:19:00,18:03:00,PC QUATORZE BIS, AMBOS, R MANOEL DUTRA
866,866,2023-12-23,1,Sé,Inativo Transitável,17:31:00,19:53:00,PQ ANHANGABAU, SANTANA/AEROPORTO, AV NOVE DE JULHO
867,867,2023-12-23,1,Sé,Inativo Intransitável,18:08:00,19:52:00,PTE DO RIO TAMANDUATEI, IPIRANGA/SANTANA, AV DO ESTADO
868,868,2023-12-23,1,Lapa,Inativo Transitável,19:00:00,19:17:00,MARGINAL TIETE ASCB EXPRESSA, A SENNA/CASTELO B, PTE DA CASA VERDE-JORN.WALTER ABRAHAO
869,869,2023-12-23,1,Aricanduva/ Vila Formosa,Inativo Transitável,17:12:00,17:27:00,MARGINAL TIETE, CASTELO B/A SENNA - EXP, PTE ARICANDUVA-DR.MIGUEL ARRAES
870,870,2023-12-23,1,Aricanduva/ Vila Formosa,Inativo Intransitável,17:27:00,20:21:00,AV ARICANDUVA, MARGINAL/ITAQUERA, AV ITAQUERA
871,871,2023-12-23,1,Aricanduva/ Vila Formosa,Inativo Intransitável,17:30:00,20:54:00,R COMEN GIL PINHEIRO, AMBOS, R JULIO COLACO
872,872,2023-12-23,1,Aricanduva/ Vila Formosa,Inativo Intransitável,17:40:00,21:00:00,RUA FRANCESCO MELZI, AMBOS, ALT DO N°432
873,873,2023-12-23,1,Aricanduva/ Vila Formosa,Inativo Intransitável,17:54:00,20:54:00,a 20:54AV ARICANDUVA, MARGINAL/ITAQUERA, R JULIO COLACO
874,874,2023-12-23,1,Aricanduva/ Vila Formosa,Inativo Intransitável,20:55:00,07:08:00,AV ARICANDUVA, ITAQUERA/MARGINAL, R SEBASTIAO DE ANDRADE
875,875,2023-12-23,1,Itaquera,Inativo Intransitável,17:35:00,19:34:00,R PDE VIEGAS DE MENEZES, AMBOS, R ITAGIMIRIM
876,876,2023-12-23,1,Itaquera,Inativo Intransitável,17:48:00,19:22:00,R TOMAZZO FERRARA, AMBOS, AV ITAQUERA
877,877,2023-12-23,1,Itaquera,Inativo Intransitável,18:56:00,19:32:00,AV PIRES DO RIO, AMBOS, R LAGOA SALGADA
878,878,2023-12-23,1,Mooca,Inativo Intransitável,17:27:00,18:29:00,AV ALCANTARA MACHADO, AMBOS, VD GUADALAJARA-JOAO BEHISNELIAN
879,879,2023-12-23,1,Penha,Inativo Intransitável,18:00:00,21:00:00,a 21:00AV DR BERNADINO FONSECA DE CARVALHO BRITO, AMBOS, ALT DO N.2187
